No,B1,B2,B3,B4,B5,LS1,LS2,Jackpot,Wins
0144,14,21,27,30,36,2,3,103732783,0
0145,12,22,32,33,36,2,6,6750278,20
0146,5,8,17,25,40,1,5,5061750,2
0147,4,8,16,37,41,2,5,10155000,0
0148,16,17,18,36,47,1,2,18316018,0
0149,9,23,35,37,42,3,7,26717930,0
0150,9,11,20,38,43,2,3,35802728,0
0151,6,9,13,14,35,3,4,45347820,0
0152,17,19,29,36,45,5,6,26508665,2
0153,8,11,14,19,25,3,5,9931500,1
0154,5,13,27,33,42,2,4,9892500,1
0155,11,15,23,30,38,4,9,9925500,0
0156,14,23,27,30,36,1,6,17980945,1
0157,14,16,30,36,46,2,8,66980000,1
0158,8,19,20,39,50,6,9,10147500,0
0159,2,15,18,20,22,2,5,19003239,0
0160,3,16,34,38,48,5,8,14407661,2
0161,2,3,25,43,48,6,9,10222500,0
0162,4,14,31,45,49,4,9,19068212,0
0163,5,13,17,40,43,1,3,27883920,1
0164,9,17,19,41,46,1,8,10222500,0
0165,15,23,29,41,48,3,6,18409444,1
0166,7,20,25,38,41,3,7,10255500,1
0167,23,26,32,41,45,3,7,10222500,0
0168,7,18,27,36,44,1,2,18412118,0
0169,6,17,35,41,45,1,5,27129600,0
0170,7,12,26,29,49,2,6,12184606,3
0171,26,34,37,39,49,2,6,10300500,1
0172,25,26,29,49,50,7,8,10198500,1
0173,6,22,37,41,42,6,9,10213500,1
0174,1,15,17,25,45,2,8,10227000,0
0175,5,7,14,21,40,3,8,18315755,1
0176,11,16,17,22,34,5,6,10143000,0
0177,8,12,28,33,45,1,3,18141468,0
0178,4,5,19,39,41,8,9,27130830,0
0179,9,13,15,31,48,3,6,38751123,1
0180,10,21,25,26,50,4,9,10129500,0
0181,1,4,21,29,41,7,8,18065039,0
0182,10,30,33,37,41,1,8,26567438,0
0183,23,40,42,43,49,2,6,35425412,1
0184,2,3,13,38,42,7,8,10245000,0
0185,1,3,16,42,48,2,3,18180933,0
0186,6,18,22,23,37,5,6,26533768,1
0187,2,3,33,34,42,3,5,10222500,1
0188,5,9,11,29,33,7,9,10407000,0
0189,1,17,32,35,37,1,8,19075668,1
0190,22,30,34,35,44,4,5,89986000,0
0191,11,20,27,35,44,2,5,2085000,5
0192,21,32,36,46,47,3,4,5250000,2
0193,7,18,34,35,40,7,8,10515000,0
0194,7,20,38,40,43,1,8,19424115,0
0195,3,16,18,19,40,1,2,28675991,1
0196,5,14,22,25,36,5,6,5283750,2
0197,9,18,23,33,37,1,8,10744500,0
0198,2,10,22,29,48,3,9,19779134,1
0199,12,19,20,30,38,7,9,10713000,0
0200,2,4,32,43,48,1,7,19829479,1
0201,8,25,30,36,44,3,4,10765500,0
0202,7,9,28,37,44,6,7,20144622,1
0203,20,21,22,31,45,7,9,11092500,0
0204,10,12,24,25,41,3,5,20174823,0
0205,8,24,36,49,50,4,8,30830593,0
0206,14,16,23,40,46,4,8,43043848,0
0207,2,6,9,19,45,7,8,56838131,1
0208,22,30,45,47,49,4,9,11314500,0
0209,17,28,30,38,44,1,4,96525000,0
0210,12,27,29,45,46,4,7,11254500,0
0211,4,27,32,46,50,8,9,21828987,1
0212,12,37,40,47,49,2,9,11482500,1
0213,2,7,14,17,35,1,6,11449500,0
0214,13,21,25,35,48,4,8,21956568,1
0215,2,10,18,22,36,4,6,11700000,1
0216,5,9,17,29,39,3,6,11893500,0
0217,11,13,18,37,47,1,6,22132109,0
0218,6,25,30,45,50,5,7,34029801,0
0219,3,6,7,27,50,5,9,46291408,1
0220,4,19,26,27,30,3,8,11808000,0
0221,2,26,37,45,48,4,8,21330632,0
0222,8,9,40,42,45,6,7,32235833,0
0223,6,9,15,25,38,4,9,44376310,1
0224,5,9,19,21,38,1,7,2989875,4
0225,5,7,14,20,49,2,8,11785500,1
0226,7,19,21,40,50,2,9,12021000,0
0227,13,16,37,44,50,1,9,23643210,0
0228,8,11,36,37,45,3,5,34282210,0
0229,5,20,26,44,50,5,7,46162270,1
0230,7,19,22,27,48,5,7,11887500,1
0231,9,11,13,19,37,3,4,12022500,1
0232,10,14,16,29,44,5,6,11904000,1
0233,7,11,15,24,29,2,7,11836500,0
0234,1,22,25,40,50,1,8,21278542,0
0235,4,5,15,16,45,4,7,31572685,0
0236,11,17,18,26,31,5,6,42652554,0
0237,7,27,29,39,50,5,7,56497830,0
0238,2,20,25,37,39,5,8,73535143,0
0239,7,12,16,17,39,3,8,48247119,2
0240,19,23,33,37,50,3,7,11902500,1
0241,14,16,19,20,31,6,9,11848500,0
0242,14,29,31,33,37,1,2,102804000,0
